vehicle_model,vehicle_brand,ev_type,logo
BMW i3,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png
Hyundai Kona,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png
Chevy Bolt,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png
Nissan Leaf,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png
Tesla Model 3,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png
