vehicle_model,vehicle_brand,ev_type,logo
BMW i3,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png
Hyundai Kona,HYUNDAI,Battery Electric Vehicle (BEV),https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png
Chevy Bolt,CHEVROLET,Battery Electric Vehicle (BEV),https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png
Nissan Leaf,NISSAN,Battery Electric Vehicle (BEV),https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png
Tesla Model 3,TESLA,Battery Electric Vehicle (BEV),https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png
